,timestamp,item,corp,loc,supply,price,year,month,day,weekday,quarter,weekofyear,dayofyear,days_in_month,is_mon_start,is_mon_end
25891,2019-01-01,CB,A,J,0.0,0.0,2019,1,1,1,1,1,1,31,True,False
25892,2019-01-02,CB,A,J,0.0,0.0,2019,1,2,2,1,1,2,31,False,False
25893,2019-01-03,CB,A,J,0.0,0.0,2019,1,3,3,1,1,3,31,False,False
25894,2019-01-04,CB,A,J,0.0,0.0,2019,1,4,4,1,1,4,31,False,False
25895,2019-01-05,CB,A,J,4112.0,374.0,2019,1,5,5,1,1,5,31,False,False
25896,2019-01-06,CB,A,J,0.0,0.0,2019,1,6,6,1,1,6,31,False,False
25897,2019-01-07,CB,A,J,0.0,0.0,2019,1,7,0,1,2,7,31,False,False
25898,2019-01-08,CB,A,J,4480.0,250.0,2019,1,8,1,1,2,8,31,False,False
25899,2019-01-09,CB,A,J,3760.0,273.0,2019,1,9,2,1,2,9,31,False,False
25900,2019-01-10,CB,A,J,0.0,0.0,2019,1,10,3,1,2,10,31,False,False
25901,2019-01-11,CB,A,J,0.0,0.0,2019,1,11,4,1,2,11,31,False,False
25902,2019-01-12,CB,A,J,0.0,0.0,2019,1,12,5,1,2,12,31,False,False
25903,2019-01-13,CB,A,J,0.0,0.0,2019,1,13,6,1,2,13,31,False,False
25904,2019-01-14,CB,A,J,0.0,0.0,2019,1,14,0,1,3,14,31,False,False
25905,2019-01-15,CB,A,J,0.0,0.0,2019,1,15,1,1,3,15,31,False,False
25906,2019-01-16,CB,A,J,0.0,0.0,2019,1,16,2,1,3,16,31,False,False
25907,2019-01-17,CB,A,J,0.0,0.0,2019,1,17,3,1,3,17,31,False,False
25908,2019-01-18,CB,A,J,0.0,0.0,2019,1,18,4,1,3,18,31,False,False
25909,2019-01-19,CB,A,J,3760.0,321.0,2019,1,19,5,1,3,19,31,False,False
25910,2019-01-20,CB,A,J,0.0,0.0,2019,1,20,6,1,3,20,31,False,False
25911,2019-01-21,CB,A,J,0.0,0.0,2019,1,21,0,1,4,21,31,False,False
25912,2019-01-22,CB,A,J,0.0,0.0,2019,1,22,1,1,4,22,31,False,False
25913,2019-01-23,CB,A,J,0.0,0.0,2019,1,23,2,1,4,23,31,False,False
25914,2019-01-24,CB,A,J,7680.0,548.0,2019,1,24,3,1,4,24,31,False,False
25915,2019-01-25,CB,A,J,3744.0,344.0,2019,1,25,4,1,4,25,31,False,False
25916,2019-01-26,CB,A,J,4448.0,265.0,2019,1,26,5,1,4,26,31,False,False
25917,2019-01-27,CB,A,J,0.0,0.0,2019,1,27,6,1,4,27,31,False,False
25918,2019-01-28,CB,A,J,3640.0,451.0,2019,1,28,0,1,5,28,31,False,False
25919,2019-01-29,CB,A,J,6960.0,298.0,2019,1,29,1,1,5,29,31,False,False
25920,2019-01-30,CB,A,J,4224.0,167.0,2019,1,30,2,1,5,30,31,False,False
25921,2019-01-31,CB,A,J,4768.0,178.0,2019,1,31,3,1,5,31,31,False,True
25922,2019-02-01,CB,A,J,0.0,0.0,2019,2,1,4,1,5,32,28,True,False
25923,2019-02-02,CB,A,J,0.0,0.0,2019,2,2,5,1,5,33,28,False,False
25924,2019-02-03,CB,A,J,0.0,0.0,2019,2,3,6,1,5,34,28,False,False
